IrwinItem,Description,ForecastQty,ActualQty,Variance,VariancePct,Accuracy
IN058536,Pwr Sleep PM 6 mg Remvlotn 60 LqSgel,29.142857,0.0,-29.142857,-100.0,0.0
IN058537,Dbl Potncy 5HTPExt 60 LqSgel,72.0,0.0,-72.0,-100.0,0.0
IN058549,Mlk Thistle LvrDx 60 LqSgel,142.285714,0.0,-142.285714,-100.0,0.0
IN058550,Power to Sleep PM Melatonin-Free 50ct,22.285714,0.0,-22.285714,-100.0,0.0
IN058598,Tststrne UP Rd Nitri 60 LqSge,179.999999,0.0,-179.999999,-100.0,0.0
IN058599,One-Per-Day Mega B-12 60ct,12.0,0.0,-12.0,-100.0,0.0
IN058600,SteelLibido Peak Tststrne 75 LqSgel,87.428571,0.0,-87.428571,-100.0,0.0
IN058634,Mental Clarity Info Retention 60ct,24.0,0.0,-24.0,-100.0,0.0
IN058635,Colon Flush Ext Strngth 60 LqSgel,70.285714,0.0,-70.285714,-100.0,0.0
IN058637,WhlBdy Turmrc 60 LqSgel,53.142857,0.0,-53.142857,-100.0,0.0
IN058638,SRdFatBellyBurner 60 LqSgel,1103.999999,0.0,-1103.999999,-100.0,0.0
IN058639,Vita-C Plus Urgent Rescue 60ct,30.857143,0.0,-30.857143,-100.0,0.0
IN058922,Quick Energy RED Liquid-Gel Multi 72ct,12.0,0.0,-12.0,-100.0,0.0
IN058926,Body Fat-Diet System-Six RED 72ct,10.285714,0.0,-10.285714,-100.0,0.0
IN059128,Brain Awake RED 60ct,54.857143,0.0,-54.857143,-100.0,0.0
IN059132,CoQ10-RED 60ct,34.285714,0.0,-34.285714,-100.0,0.0
IN059140,SunnyMood5HTP+VitD3 80 LqSgel,39.428571,0.0,-39.428571,-100.0,0.0
IN059185,BeetRootRdMxConvrsNitricOxidBster60LqGs,97.714285,0.0,-97.714285,-100.0,0.0
IN059193,Remvlotn + 5HTP Rhodiola 54 LqSgel,36.0,0.0,-36.0,-100.0,0.0
IN059197,Healthy-Flow Saw Palmetto 60ct,53.142857,0.0,-53.142857,-100.0,0.0
IN059201,Hi PotncyD3 K2Cmplx 60 LqSgel,526.285713,0.0,-526.285713,-100.0,0.0
IN059205,Concrt Maca Root Ashwgndh 75 LqSgel,145.714285,0.0,-145.714285,-100.0,0.0
IN059212,CllgnBty Clncl Proven Verisol 80 LqSgel,118.285714,0.0,-118.285714,-100.0,0.0
IN059348,Dual-Action Fat Burner RED 75ct,18.857143,0.0,-18.857143,-100.0,0.0
IN059352,Double- Potency Ginkgo Biloba 60ct,6.857143,0.0,-6.857143,-100.0,0.0
IN059440,Tststrne RemvgaBoost Rd 68 LqSgel,204.0,0.0,-204.0,-100.0,0.0
IN059449,Extra Strength Ashwagandha 60ct,32.571428,0.0,-32.571428,-100.0,0.0
IN059457,2 1 Kdny Lvr SprClns 60 LqSgel,346.285713,0.0,-346.285713,-100.0,0.0
IN059461,LvrDx Bld Refrsh 60 LqSgel,195.428571,0.0,-195.428571,-100.0,0.0
IN059676,TststrneExt FatBurner 60 LqSgel,128.571428,0.0,-128.571428,-100.0,0.0
IN059711,2-IN-1 Clnse & Flush Weight Loss Sprt,111.428571,0.0,-111.428571,-100.0,0.0
IN059715,PureDfenCMshrm8 Immun Suppt 60 LqSgel,10.285714,0.0,-10.285714,-100.0,0.0
IN059829,KeKarmaBurn Fat Rd 72 LqSgel,29.142857,0.0,-29.142857,-100.0,0.0
IN059848,Active-Energy Magnum Maca 84 SG,12.0,0.0,-12.0,-100.0,0.0
IN059868,V02 Max Perfrm FatBurner 60 LqSgel,42.857143,0.0,-42.857143,-100.0,0.0
IN059985,SteelLibido for Women 48ct,60.0,0.0,-60.0,-100.0,0.0
IN059993,Testosterone Up Red 32 ct,24.0,0.0,-24.0,-100.0,0.0
IN050200,Immuno-Shield with Elderberry 60ct,87.428571,0.0,-87.428571,-100.0,0.0
IN050251,Love My Legs VeCirculation 60 LqSgel,159.428571,0.0,-159.428571,-100.0,0.0
IN050255,Level Up Actv Male 60 LqSgel,114.857143,0.0,-114.857143,-100.0,0.0
IN050329,L-Arginine + Horney Goat Weed,12.0,0.0,-12.0,-100.0,0.0
IN050360,"ThermoBurn Stuborn Fat Metolizr, 60 SGs",272.571428,0.0,-272.571428,-100.0,0.0
IN050436,Extra Energy Thermo Fuel Max Fat Burner,6.857143,0.0,-6.857143,-100.0,0.0
IN050466,Daly Multi Tstosterone Up Boostr for Mn,78.857143,0.0,-78.857143,-100.0,0.0
IN050522,Testosterone Mega Boost RED 56LSG,58.285714,0.0,-58.285714,-100.0,0.0
IN050560,Next Level Steel Libido x,24.0,0.0,-24.0,-100.0,0.0
IN050570,Testosterone Up Prostate Defense,24.0,0.0,-24.0,-100.0,0.0
IN050574,Sensual Woman Endurance Stress  Lbdo,30.857143,0.0,-30.857143,-100.0,0.0
IN050587,Testosterone Up Strength & Size,75.428571,0.0,-75.428571,-100.0,0.0
IN050598,Power Mle Hrny gt Weed Nitric Oxd Bstr,10.285714,0.0,-10.285714,-100.0,0.0
IN050603,Gut-to-Brain Hunger Control,195.428571,0.0,-195.428571,-100.0,0.0
IN050607,Enrgy & Endurance Tstrn Up Men ovr 40,108.0,0.0,-108.0,-100.0,0.0
IN050617,Stress Defy Optimal Sleep,29.142857,0.0,-29.142857,-100.0,0.0
IN050711,Optimum Strength Tstrn UP PRO-Grwth,28.285714,0.0,-28.285714,-100.0,0.0
IN050724,Aller-Pure Histamine Clear 54 ct,34.285714,0.0,-34.285714,-100.0,0.0
IN050783,Testosterone UP RED Value Size 100 SG,84.0,0.0,-84.0,-100.0,0.0
IN050785,Stored Fat Belly Burner 100 ct,1076.571429,0.0,-1076.571429,-100.0,0.0
IN050787,Whole Body Tumeric Value Sizze 120 SG,36.0,0.0,-36.0,-100.0,0.0
IN050789,L-Citrulline + L-Arginine 60 SG,49.714286,0.0,-49.714286,-100.0,0.0
IN050822,Healthy Brain All Day Focus 60LSG,27.428571,0.0,-27.428571,-100.0,0.0
IN050852,Pro-Active Nitric Oxide PWR 60LSG,89.142857,0.0,-89.142857,-100.0,0.0
nan,Liq Qck Delvry Ashwgndha 10ct 100ml Ea,13.714286,0.0,-13.714286,-100.0,0.0
IN051040,RA Testosterone Up ThermoBurn 60LiqSgels,37.714286,0.0,-37.714286,-100.0,0.0
IN051044,Berberine Body Plus Fat Burner 56ct,471.428571,0.0,-471.428571,-100.0,0.0
IN051068,Sleep Fit PM FatBurner 60 LiquidSoftgels,36.0,0.0,-36.0,-100.0,0.0
IN051138,Xtra Strength TestosUP v2 60 LiqSoftgels,30.857143,0.0,-30.857143,-100.0,0.0
IN051142,VitalityRecvry TestoUP Men60Plus 60LiqSf,24.0,0.0,-24.0,-100.0,0.0
IN051155,Beets 4 Cardio Peak Performance 60Liq SF,30.857143,0.0,-30.857143,-100.0,0.0
IN051159,Hair Follicle Stimulator 60Liquid SF,75.428571,0.0,-75.428571,-100.0,0.0
IN051163,StoredFat Belly Burner 40Liquid Softgels,125.142857,0.0,-125.142857,-100.0,0.0
IN051209,ShatavariRose MindandBodyforWmn 60Liq SF,65.142857,0.0,-65.142857,-100.0,0.0
IN051222,LongJackExtPtncyWoodPrimalMale 60Liq Sf,17.142857,0.0,-17.142857,-100.0,0.0
IN051226,FemaleBalance KSM66 Ashwagandha 60Liq Sf,25.714286,0.0,-25.714286,-100.0,0.0
IH050090,holtra Prem LubriJot 120 LqSgel,109.714286,0.0,-109.714286,-100.0,0.0
NS055554,15Day Wt Loss Suppt Clns Flush 60 Tb,1213.714285,0.0,-1213.714285,-100.0,0.0
NS055560,Respirary Suppt Dfenc 60 Tb,231.428571,0.0,-231.428571,-100.0,0.0
NS055562,Urary Flush Suppt Crnbry 60Cpsl,80.571428,0.0,-80.571428,-100.0,0.0
NS058381,7Day UltClns 2Part TtlBdyClns,438.857143,0.0,-438.857143,-100.0,0.0
NS050082,UltClns 2 Part Ttl 120 Tb,162.857143,0.0,-162.857143,-100.0,0.0
NS050084,MltiHrbDgstn Dx Suppt 275 Tb,42.857143,0.0,-42.857143,-100.0,0.0
NS050085,MltiHrbColonClns 275 Tb,95.999999,0.0,-95.999999,-100.0,0.0
NS050093,Women73NutrientSGelMltiwOmga3Oils60LqGs,77.142857,0.0,-77.142857,-100.0,0.0
NS050133,SprClns 200 Tb,346.285714,0.0,-346.285714,-100.0,0.0
NS050849,Weekend Colon Flush 16 Tablets,132.0,0.0,-132.0,-100.0,0.0
NS050858,Gluten and Dairy Digestive Aid 50 Caps,34.285714,0.0,-34.285714,-100.0,0.0
