IrwinItem,Description,ForecastQty,ActualQty,Variance,VariancePct,Accuracy
IN051163,StoredFat Belly Burner 40Liquid Softgels,123.428571,180.0,56.571428999999995,45.83,100.0
IN051209,ShatavariRose MindandBodyforWmn 60Liq SF,27.428571,120.0,92.571429,337.5,100.0
IN051216,Healthy Brain ALA and BacoMind 60 Liq Sf,12.0,24.0,12.0,100.0,100.0
IN051222,LongJackExtPtncyWoodPrimalMale 60Liq Sf,12.0,36.0,24.0,200.0,100.0
IN051226,FemaleBalance KSM66 Ashwagandha 60Liq Sf,12.0,24.0,12.0,100.0,100.0
IH050090,holtra Prem LubriJot 120 LqSgel,106.285713,0.0,-106.285713,-100.0,0.0
NS055554,15Day Wt Loss Suppt Clns Flush 60 Tb,953.142854,1392.0,438.85714599999994,46.04,100.0
NS055560,Respirary Suppt Dfenc 60 Tb,263.999998,0.0,-263.999998,-100.0,0.0
NS055562,Urary Flush Suppt Crnbry 60Cpsl,78.857142,72.0,-6.857141999999996,-8.7,91.3
NS058381,7Day UltClns 2Part TtlBdyClns,459.428569,0.0,-459.428569,-100.0,0.0
NS050082,UltClns 2 Part Ttl 120 Tb,161.142855,288.0,126.857145,78.72,100.0
NS050084,MltiHrbDgstn Dx Suppt 275 Tb,66.857142,0.0,-66.857142,-100.0,0.0
NS050085,MltiHrbColonClns 275 Tb,126.857142,264.0,137.142858,108.11,100.0
NS050093,Women73NutrientSGelMltiwOmga3Oils60LqGs,75.428571,72.0,-3.428571000000005,-4.55,95.45
NS050133,SprClns 200 Tb,330.85714,312.0,-18.857140000000015,-5.7,94.3
NS050849,Weekend Colon Flush 16 Tablets,63.428571,228.0,164.571429,259.46,100.0
NS050858,Gluten and Dairy Digestive Aid 50 Caps,39.428571,0.0,-39.428571,-100.0,0.0
