PartNumber,Description,ForecastQty,IrwinItem,ActualQty,Variance,VariancePct,Accuracy
IRW58410,Biotin-6000 Strength & Protection 60ct,29.142857,IN058410,0.0,-29.142857,-100.0,0.0
IRW58421,skol FatLossDiet 60 LqSgel,234.857142,IN058421,252.0,17.14285799999999,7.3,100.0
IRW58486,Nitric Oxide Pre Sport 60ct,30.857143,IN058486,12.0,-18.857143,-61.11,38.89
IRW58528,Tststrne UP 120 LqSgel,68.571428,IN058528,24.0,-44.571428,-65.0,35.0
IRW58531,"SteelLibido Pnk, Wmn 60 LqSgel",171.428571,IN058531,0.0,-171.428571,-100.0,0.0
IRW58532,ProstaStrong Rd 80 LqSgel,89.142857,IN058532,132.0,42.85714299999999,48.08,100.0
IRW58536,Pwr Sleep PM 6 mg Remvlotn 60 LqSgel,54.857143,IN058536,0.0,-54.857143,-100.0,0.0
IRW58537,Dbl Potncy 5HTPExt 60 LqSgel,53.142857,IN058537,48.0,-5.142856999999999,-9.68,90.32
IRW58549,Mlk Thistle LvrDx 60 LqSgel,133.714285,IN058549,168.0,34.28571500000001,25.64,100.0
IRW58550,Power to Sleep PM Melatonin-Free 50ct,44.571428,IN058550,60.0,15.428572000000003,34.62,100.0
IRW58598,Tststrne UP Rd Nitri 60 LqSge,130.285714,IN058598,288.0,157.714286,121.05,100.0
IRW58599,One-Per-Day Mega B-12 60ct,25.714286,IN058599,36.0,10.285713999999999,40.0,100.0
IRW58600,SteelLibido Peak Tststrne 75 LqSgel,58.285714,IN058600,84.0,25.714286,44.12,100.0
IRW58634,Mental Clarity Info Retention 60ct,24.0,IN058634,12.0,-12.0,-50.0,50.0
IRW58635,Colon Flush Ext Strngth 60 LqSgel,90.857143,IN058635,24.0,-66.857143,-73.58,26.42
IRW58637,WhlBdy Turmrc 60 LqSgel,30.857143,IN058637,12.0,-18.857143,-61.11,38.89
IRW58638,SRdFatBellyBurner 60 LqSgel,2664.000001,IN058638,1164.0,-1500.0000009999999,-56.31,43.69
IRW58639,Vita-C Plus Urgent Rescue 60ct,37.714286,IN058639,36.0,-1.7142860000000013,-4.55,95.45
IRW58922,Quick Energy RED Liquid-Gel Multi 72ct,87.428571,IN058922,12.0,-75.428571,-86.27,13.73
IRW58926,Body Fat-Diet System-Six RED 72ct,18.857143,IN058926,48.0,29.142857,154.55,100.0
IRW59128,Brain Awake RED 60ct,34.285714,IN059128,0.0,-34.285714,-100.0,0.0
IRW59132,CoQ10-RED 60ct,34.285714,IN059132,12.0,-22.285714,-65.0,35.0
IRW59140,SunnyMood5HTP+VitD3 80 LqSgel,41.142857,IN059140,48.0,6.857143000000001,16.67,100.0
IRW59185,BeetRootRdMxConvrsNitricOxidBster60LqGs,101.142857,IN059185,144.0,42.85714299999999,42.37,100.0
IRW59193,Remvlotn + 5HTP Rhodiola 54 LqSgel,32.571428,IN059193,0.0,-32.571428,-100.0,0.0
IRW59197,Healthy-Flow Saw Palmetto 60ct,24.0,IN059197,48.0,24.0,100.0,100.0
IRW59201,Hi PotncyD3 K2Cmplx 60 LqSgel,409.714285,IN059201,348.0,-61.71428500000002,-15.06,84.94
IRW59205,Concrt Maca Root Ashwgndh 75 LqSgel,162.857142,IN059205,60.0,-102.85714200000001,-63.16,36.84
IRW59212,CllgnBty Clncl Proven Verisol 80 LqSgel,87.428571,IN059212,48.0,-39.428571000000005,-45.1,54.9
IRW59348,Dual-Action Fat Burner RED 75ct,65.142857,IN059348,0.0,-65.142857,-100.0,0.0
IRW59440,Tststrne RemvgaBoost Rd 68 LqSgel,102.857143,IN059440,144.0,41.14285700000001,40.0,100.0
IRW59449,Extra Strength Ashwagandha 60ct,60.0,IN059449,0.0,-60.0,-100.0,0.0
IRW59457,2 1 Kdny Lvr SprClns 60 LqSgel,642.857142,IN059457,0.0,-642.857142,-100.0,0.0
IRW59461,LvrDx Bld Refrsh 60 LqSgel,255.428571,IN059461,156.0,-99.428571,-38.93,61.07
IRW59676,TststrneExt FatBurner 60 LqSgel,193.714285,IN059676,108.0,-85.71428499999999,-44.25,55.75
IRW59711,2-IN-1 Clnse & Flush Weight Loss Sprt,125.142857,IN059711,72.0,-53.14285700000001,-42.47,57.53
IRW59715,PureDfenCMshrm8 Immun Suppt 60 LqSgel,30.857143,IN059715,0.0,-30.857143,-100.0,0.0
IRW59829,KeKarmaBurn Fat Rd 72 LqSgel,51.428571,IN059829,48.0,-3.428570999999998,-6.67,93.33
IRW59868,V02 Max Perfrm FatBurner 60 LqSgel,92.571428,IN059868,72.0,-20.571427999999997,-22.22,77.78
IRW59985,SteelLibido for Women 48ct,60.0,IN059985,24.0,-36.0,-60.0,40.0
IRW59993,Testosterone Up Red 32 ct,36.0,IN059993,0.0,-36.0,-100.0,0.0
IRW40849,Weekend Colon Flush 16 Tablets,10.285714,NS050849,0.0,-10.285714,-100.0,0.0
IRW40858,Gluten and Dairy Digestive Aid 50 Caps,24.0,NS050858,0.0,-24.0,-100.0,0.0
NTS00090,holtra Prem LubriJot 120 LqSgel,108.0,IH050090,60.0,-48.0,-44.44,55.56
NTS25554,15Day Wt Loss Suppt Clns Flush 60 Tb,1002.857143,NS055554,468.0,-534.857143,-53.33,46.67
NTS25560,Respirary Suppt Dfenc 60 Tb,294.857143,NS055560,60.0,-234.857143,-79.65,20.35
NTS25562,Urary Flush Suppt Crnbry 60Cpsl,60.0,NS055562,84.0,24.0,40.0,100.0
NTS50082,UltClns 2 Part Ttl 120 Tb,221.142857,NS050082,300.0,78.85714300000001,35.66,100.0
NTS50084,MltiHrbDgstn Dx Suppt 275 Tb,72.0,NS050084,96.0,24.0,33.33,100.0
NTS50085,MltiHrbColonClns 275 Tb,161.142857,NS050085,192.0,30.857143000000008,19.15,100.0
NTS50093,Women73NutrientSGelMltiwOmga3Oils60LqGs,65.142857,NS050093,60.0,-5.1428570000000065,-7.89,92.11
NTS50133,SprClns 200 Tb,402.857142,NS050133,120.0,-282.857142,-70.21,29.79
NTS58381,7Day UltClns 2Part TtlBdyClns,308.571428,NS058381,264.0,-44.571428000000026,-14.44,85.56
