sales_rep,product_name,revenue_ytd,units_ytd,txn_count
10.0,C.L.A. LEAN BODY FAT REDUCTION 80SG,75.55,5,2
10.0,COLLAGEN BEAUTY 80CAP,491.1600000000001,45,26
10.0,CoQ10-RED 60ct,38594.560000000005,2076,25
10.0,Daily Gentle Cleanse 60ct,604.3000000000002,51,14
10.0,DAILY GENTLE CLEANSE 60SG,408.32000000000005,36,27
10.0,Daily Multi Testosterone UP Booster for Men,61.17,3,1
10.0,Daily Multi Testosterone UP Booster for Men 60ct,47788.64,3137,46
10.0,DAILY MULTI TESTOSTERONE UP BOOSTER FOR MEN 60SG,1612.24,82,61
10.0,Deep Tissue Collagen Pure,50.97,3,1
10.0,Deep Tissue Collagen-Pure 80ct,1079.28,72,6
10.0,DEEP TISSUE COLLAGEN PURE 80SG,785.7299999999997,48,34
10.0,Double Potency 5-HTP Extra 60ct,10359.36,864,24
10.0,DOUBLE POTENCY 5 HTP EXTRA 60SG,930.5200000000001,72,56
10.0,Double Potency CBD 30mg 90ct Value Size 400cc,10430.279999999999,252,7
10.0,Double Potency CBD (30mg Per Soft-Gel) 15ct 200cc,431.52,6,3
10.0,DOUBLE POTENCY ONE PER DAY CBD 30MG 15SG,1372.1400000000006,106,61
10.0,DOUBLE POTENCY ONE PER DAY CBD 30MG 15SG ##V,155.39999999999998,12,7
10.0,DUAL ACTION FAT BURNER RED 75SG,515.0799999999999,32,27
10.0,DUAL ACTION TESTOSTERONE UP PROSTATE DEFENSE 60SG,52.46,2,2
10.0,"Empty, 24pc. Universal Green Floor Display",0,25,1
10.0,EMPTY UNIQUE BLUE FLOOR STAND 12PC,0,9,9
10.0,EMPTY UNIVERSAL GREEN FLOOR STAND GLP1 12PC,0,12,12
10.0,EMPTY UNIVSL GREEN FLOOR STAND DISPLAY (Q3) 24PC,0,11,11
10.0,ENERGY & ENDURANCE TESTOSTERONE UP MEN 40+ 60SG,1470.21,68,50
10.0,Energy & Endurance Testosterone UP Men Over 40,71.37,3,1
10.0,Energy & Endurance Testosterone UP Men Over 40 60ct,12258.16,590,17
10.0,EstroPause Menopause Support,40.77,3,1
10.0,EstroPause Menopause Support 80ct,1575.4899999999998,144,3
10.0,ESTROPAUSE MENOPAUSE SUPPORT 80SG,1414.59,106,47
10.0,Extra-Energy Thermo-Fuel Max Fat Burner 100ct,8512.529999999999,507,12
10.0,EXTRA ENERGY THERMO FUEL MAX FAT BURNER 100SG,715.1300000000001,37,9
10.0,Extra Strength Ashwagandha 60ct,15271.35,1071,44
10.0,EXTRA STRENGTH ASHWAGANDHA 60SG,1067.95,69,33
10.0,Extra Strength CBD 50mg 90ct Value Size 400cc,15117.48,252,9
10.0,Extra-Strength CBD (50mg Per Soft-Gel) 15ct 200cc,269.04,4,2
10.0,Extra Strength CBD Oil 2000mg (peppermint) 2 fl. oz.,5960.5199999999995,144,3
10.0,Extra Strength CBD Oil Drops 1000mg (Unflavored) 1 fl. oz.,0,4,1
10.0,Extra Strength CBD Oil Drops 2000mg (flavorless) 2 fl. oz.,7947.36,192,4
10.0,Extra Strength Colon Flush 60ct,32517.89,2712,17
10.0,EXTRA STRENGTH ONE PER DAY CBD 50MG 15SG,107.94,6,2
10.0,EXTRA STRENGTH TESTOSTERONE UP PRO GROWTH 60SG,1497.69,63,32
10.0,"Extra Strength Testosterone Up v2, 60ct",518.18,26,2
10.0,EXTRA STRENGTH TESTOSTERONE UP X2 60SG,401.14,14,8
10.0,FEMALE BALANCE KSM-66 60CAP,907.5300000000001,49,16
10.0,Female Balance KSM-66 Ashwagandha 60ct,6864.98,1670,9
10.0,Forskolin Fat-Loss Diet Stimulator 60ct,48809.88,3540,50
10.0,GINKGO SMART MAX FOCUS & MEMORY 120SG,2042.83,91,64
10.0,Ginkgo Smart Maximum Focus & Memory 120ct VALUE SIZE,163588.84999999998,7800,45
10.0,Ginkgo Smart Maximum Focus & Memory 60ct,57111.63,4778,47
10.0,GINKGO SMART MAXIMUM FOCUS & MEMORY 60SG,3610.499999999998,280,131
10.0,GINZA PLUS ENDURANCE VITALITY BALANCE 75SG,69.06,6,6
10.0,GINZA PLUS ENDURANCE VITALITY BALANCE 75SG ##V,39.33,3,3
10.0,Gluten & Dairy Digestive Aid 50ct,31173.999999999996,3948,24
10.0,GLUTEN & DAIRY DIGESTIVE AID 50SG,28.78,2,1
10.0,Good Mood Sleep PM 54ct,6042.96,1740,9
10.0,Green Tea Fat Burner 90ct SSLV,0,240,1
10.0,Green Tea Fat Metabolizer 75ct,2353.4299999999994,169,22
10.0,GREEN TEA FAT METABOLIZER 75SG,156.9,10,7
10.0,Gummies Apple Cider Vinegar 40ct,0,6,1
10.0,Gummies Maca Root Ashwagandha 42ct,0,6,1
10.0,Gummies Magnesium Whole-Body 40ct,0,6,1
10.0,Gummies Milk Thistle Liver Detox 30ct,0,6,1
10.0,Gummies Stress-Defy Balanced 30ct,0,6,1
10.0,Gummies Testosterone Up Peak 30ct,0,6,1
