date,yhat,yhat_lower,yhat_upper,model,product_name,distributor,key_type,key_id
2025-11-01,0.0,-4800.912876583078,4800.912876583078,sarimax,CBD OIL 2000MG UNFLAVORED,SUPERNATURAL,product_distributor,CBD OIL 2000MG UNFLAVORED | SUPERNATURAL
2025-12-01,0.0,-5543.616683302362,5543.616683302362,sarimax,CBD OIL 2000MG UNFLAVORED,SUPERNATURAL,product_distributor,CBD OIL 2000MG UNFLAVORED | SUPERNATURAL
2025-06-01,3042.63,270.82165834881926,5814.438341651181,sarimax,CBD OIL 2000MG UNFLAVORED 2OZ,THRESHOLD,product_distributor,CBD OIL 2000MG UNFLAVORED 2OZ | THRESHOLD
2025-07-01,3042.63,-877.298949061978,6962.558949061979,sarimax,CBD OIL 2000MG UNFLAVORED 2OZ,THRESHOLD,product_distributor,CBD OIL 2000MG UNFLAVORED 2OZ | THRESHOLD
2025-08-01,3042.63,-1758.2828765830782,7843.542876583078,sarimax,CBD OIL 2000MG UNFLAVORED 2OZ,THRESHOLD,product_distributor,CBD OIL 2000MG UNFLAVORED 2OZ | THRESHOLD
2025-09-01,3042.63,-2500.9866833023616,8586.24668330236,sarimax,CBD OIL 2000MG UNFLAVORED 2OZ,THRESHOLD,product_distributor,CBD OIL 2000MG UNFLAVORED 2OZ | THRESHOLD
2025-10-01,3042.63,-3155.3218725330025,9240.581872533003,sarimax,CBD OIL 2000MG UNFLAVORED 2OZ,THRESHOLD,product_distributor,CBD OIL 2000MG UNFLAVORED 2OZ | THRESHOLD
2025-11-01,3042.63,-3746.886101835419,9832.14610183542,sarimax,CBD OIL 2000MG UNFLAVORED 2OZ,THRESHOLD,product_distributor,CBD OIL 2000MG UNFLAVORED 2OZ | THRESHOLD
2025-12-01,3042.63,-4290.885553943381,10376.145553943381,sarimax,CBD OIL 2000MG UNFLAVORED 2OZ,THRESHOLD,product_distributor,CBD OIL 2000MG UNFLAVORED 2OZ | THRESHOLD
2025-10-01,273.40999999999997,-2498.398341651181,3045.2183416511807,sarimax,CBD OIL 250 MG UNFLAVORED,SUPERNATURAL,product_distributor,CBD OIL 250 MG UNFLAVORED | SUPERNATURAL
